,rawdate,year,month,day,date,low,high,close,volume,open,close-open,close-open_%of_close,high-low,high-low_%of_close,macd,rsi,50d_avg,100d_avg,200d_avg,so
2994,20120416,2012,04,16,2012-04-16,-0.204998235539226,-0.210197607027379,137.48,0.369461664520892,-0.196896196473873,-0.675382897947725,-0.620445195524877,-0.100701150817809,-0.105701927992512,-0.260561805449344,-0.016290131852073,-0.185337991794086,-0.29762605407937,-0.38484803025916,-1.11559828186341
2995,20120417,2012,04,17,2012-04-17,-0.181324833597502,-0.182560563679787,139.53,-0.165162371242027,-0.197312118324624,0.953705337368798,0.876554803033183,-0.028664561866787,-0.048019335319747,-0.218736513822284,0.0401706823295,-0.183437087244134,-0.293432143610882,-0.384052090855584,-0.177833084901854
2996,20120418,2012,04,18,2012-04-18,-0.167220732915599,-0.188378844848595,139.11,-0.054365805650971,-0.18358003917119,0.103750022000392,0.100605674192212,-0.385992318261292,-0.369464198990046,-0.20821283929175,-1.0053775983855,-0.181642027702663,-0.289225315553682,-0.383519226776593,-0.369960588669581
2997,20120419,2012,04,19,2012-04-19,-0.19465023134834,-0.186820584474135,138.28,0.373172737332471,-0.180875194719082,-0.651772809464449,-0.595058755949373,0.133685553815304,0.104653875898094,-0.244917335288098,-0.028241508127549,-0.180350770249483,-0.284628806903671,-0.383073679824943,-0.749641131829631
2998,20120420,2012,04,20,2012-04-20,-0.177577065480078,-0.193158147237258,138.39999,-0.356186974831855,-0.186908870431903,-0.329117340251993,-0.297462237420403,-0.286191355173875,-0.277575150637524,-0.26587701918974,-0.033064514563785,-0.179178058697767,-0.27994403021706,-0.382628133992757,-0.694752133788939
2999,20120423,2012,04,23,2012-04-23,-0.218178094961504,-0.233470523906854,137.28,-0.112250889815083,-0.223944849059906,0.190328216468554,0.182219406739911,-0.282455350534752,-0.271522740112714,-0.342564450282615,-0.016312519660192,-0.17855995280627,-0.276232376393818,-0.382473646744328,-1.16668150267212
3000,20120424,2012,04,24,2012-04-24,-0.199647047295565,-0.217885842204691,137.78999,-0.18635757059888,-0.215830315703584,0.28476070037214,0.26890104846142,-0.334714628214254,-0.320445637930301,-0.372254491810423,-0.023366303966885,-0.177327970420636,-0.272503501271893,-0.382144526360682,-0.64445569852332
3001,20120425,2012,04,25,2012-04-25,-0.163835457258866,-0.184846316996105,139.73,0.114966238308287,-0.17983486992981,0.450031319755074,0.415982463865839,-0.383226704437519,-0.367996688020624,-0.286014541165531,0.010303303442279,-0.1756726249356,-0.269418350501183,-0.381334035035436,0.702649994981891
3002,20120426,2012,04,26,2012-04-26,-0.158213596873391,-0.162196371793205,140.66,-0.11902264123415,-0.174841519006262,0.993071224899904,0.905230803187047,-0.07718037036243,-0.095838989292873,-0.165563799831297,0.003583404455455,-0.173560043069578,-0.26612436537963,-0.380348906097114,1.09844705030532
3003,20120427,2012,04,27,2012-04-27,-0.137232341696016,-0.152430386851361,140.91,0.198561022775296,-0.139262203148197,-0.155960951315669,-0.135452596022124,-0.277872120068357,-0.275888981680019,-0.057139085285671,0.002649599741447,-0.171087606802693,-0.262772251108872,-0.37938840538225,1.09844705030532
3004,20120430,2012,04,30,2012-04-30,-0.143847152423268,-0.164274537149249,140.28,0.740224619335436,-0.149457386083064,-0.26614136423761,-0.236177367918939,-0.372033619609578,-0.358868811717931,-0.007845450532366,0.009392700882204,-0.169495761548937,-0.259833499676898,-0.37839544019101,0.628447602018107
3005,20120501,2012,05,01,2012-05-01,-0.140932221665273,-0.134144152525067,141.21001,1.94800665633269,-0.156947932630782,0.749108180602242,0.681580516491579,0.116894060437215,0.07507847524924,0.080489279719062,0.002776170052266,-0.167649898435539,-0.25670959398712,-0.377382323515657,1.09844705030532
3006,20120502,2012,05,02,2012-05-02,-0.144888199122553,-0.159287231208801,140.84,-0.25380727541139,-0.15445094507157,0.363460995316409,0.334432325593,-0.26379398870089,-0.26315430137365,0.126795610463668,0.006184768471643,-0.166003015978859,-0.253751466172078,-0.376283009177666,0.843480487162544
3007,20120503,2012,05,03,2012-05-03,-0.154465620546628,-0.159703030516615,139.78999,-0.201048827914821,-0.144671683987455,-0.832799227895213,-0.753573553064859,-0.099581469107783,-0.112859772433761,0.102189305697208,-5.16396118383448,-0.16460592621809,-0.25044025975184,-0.375546403642259,0.119939391069084
3008,20120504,2012,05,04,2012-05-04,-0.197565162106336,-0.196898678641533,137.49001,-0.232688593019725,-0.182539714381918,-1.21053703353912,-1.11638659178318,0.004922157161771,-0.009103487773493,-0.046547483897947,-0.014083098796786,-0.164457744899668,-0.248065574207357,-0.375059435377146,-1.46493127701312
3009,20120507,2012,05,07,2012-05-07,-0.207975629099179,-0.219964007560735,137.55,-0.318311077064194,-0.224984757719262,0.442153420231159,0.415167976955078,-0.222746457211168,-0.217563544086367,-0.160847384371474,-0.014409176960641,-0.164381539541775,-0.24528613970283,-0.374769495138627,-1.42359335608413
3010,20120508,2012,05,08,2012-05-08,-0.23962365696676,-0.236379664491257,136.99001,0.13860998055113,-0.229978524772727,0.190328216468554,0.182590561609565,0.049716890107731,0.034184753619279,-0.281014843847573,-0.01289355731174,-0.164669422215738,-0.242379680089705,-0.374552317866851,-1.60964500887338
3011,20120509,2012,05,09,2012-05-09,-0.248784451501782,-0.239912192343747,136.17,0.625870014863176,-0.254322124841694,0.46577137874391,0.44140724181431,0.150480779465773,0.131084994851959,-0.418732743066154,-0.011544252828276,-0.165465344842617,-0.239356964331102,-0.374347455826268,-1.60964500887338
3012,20120510,2012,05,10,2012-05-10,-0.222758284019675,-0.235112110379481,136.49001,-0.157089831414778,-0.221656134523507,-0.517966568000216,-0.478031176481946,-0.229837774708032,-0.221130168416182,-0.50583540322048,-0.012777462602081,-0.165816736215122,-0.236364387459897,-0.374046318701793,-1.43769762387656
3013,20120511,2012,05,11,2012-05-11,-0.235459053750944,-0.234301499135213,136.03,0.134018962639898,-0.252865878201671,0.300508629390495,0.287043060987549,0.012390434167671,0.004142854058399,-0.595255760330792,-0.011875022383947,-0.166739672005452,-0.233511753286002,-0.373492183673987,-1.60964500887338
3014,20120514,2012,05,14,2012-05-14,-0.261277220102533,-0.272951509756577,134.62,0.694697025049056,-0.270759464577152,-0.132342992802874,-0.119747243196109,-0.219006720299666,-0.205749035801629,-0.737801596616642,-0.010399162480349,-0.168107139050156,-0.230682801358079,-0.373051113461683,-1.60964500887338
3015,20120515,2012,05,15,2012-05-15,-0.277080308997668,-0.277523224184968,133.83,0.697298601865421,-0.277209270205681,-0.510112278564769,-0.480190910787891,-0.017840972003157,-0.014343548472321,-0.886193813023848,-0.009963064073817,-0.169567741743097,-0.228807598063391,-0.372601088651222,-1.60964500887338
3016,20120516,2012,05,16,2012-05-16,-0.28397203814693,-0.283133709597747,133.33,1.02942048926043,-0.279081854826371,-0.832783487836197,-0.790403710335901,0.004925889434128,0.009331312584337,-1.02150126862043,-0.009746236657709,-0.170342496215005,-0.227083099970342,-0.372138749729032,-1.60964500887338
3017,20120517,2012,05,17,2012-05-17,-0.326030324798014,-0.31492646027016,131.35001,0.435801873338188,-0.301552870274649,-1.54107827230499,-1.4895642794393,0.187807235405832,0.193652807918596,-1.22653800942825,-0.00921558769845,-0.172383102120499,-0.225888220861553,-0.371538715528954,-1.60964500887338
3018,20120518,2012,05,18,2012-05-18,-0.352056492280121,-0.344433457626255,130.22,0.421646234778557,-0.332346484037103,-1.26563511002961,-1.23301395221625,0.124358605170757,0.139248705101163,-1.43704958872281,-0.009042668493748,-0.175469414881518,-0.22515191830497,-0.371139066630111,-1.60964500887338
3019,20120521,2012,05,21,2012-05-21,-0.343936328025704,-0.335706035873044,132.42999,0.311844389734935,-0.358354603768907,1.457387225012,1.40783543762698,0.135555422271066,0.137550253363095,-1.46547310748455,-0.013574137307347,-0.177848719733796,-0.223957043502044,-0.369822577259273,-1.04609921133437
3020,20120522,2012,05,22,2012-05-22,-0.314995229785601,-0.31056295718931,132.66,-0.021501769103072,-0.313204507914497,-0.069390626876982,-0.061148958826549,0.068370787396846,0.072566805908645,-1.45997510588375,-0.014677881794912,-0.1801391183352,-0.222383250610635,-0.368453471927946,-0.919179854322956
3021,20120523,2012,05,23,2012-05-23,-0.342478654437365,-0.32677102615956,132.74001,-0.086426414064405,-0.334843055466399,0.812052676498637,0.785057227929098,0.269909762930023,0.263147015275513,-1.43622557603641,-0.015192503323898,-0.183449813538903,-0.221048430957466,-0.366202227291475,-0.678619214869161
3022,20120524,2012,05,24,2012-05-24,-0.313121345726889,-0.319082375390736,132.84,0.044914956679412,-0.305714169431737,-0.21105115777664,-0.196945238952697,-0.118239098669256,-0.105049364802007,-1.39734649988244,-0.016024478191965,-0.186641971308405,-0.219567214118493,-0.364589078654972,-0.641677587993683
3023,20120525,2012,05,25,2012-05-25,-0.305209390812329,-0.318666991674435,132.56,-0.163785065868658,-0.309251273715263,-0.297621482215305,-0.280594146504082,-0.252604636145328,-0.231506727668272,-1.36798798853525,-0.014584286137543,-0.190308295749237,-0.218589783239287,-0.362354627108505,-0.67361457192009
3024,20120529,2012,05,29,2012-05-29,-0.285013084846214,-0.296017046471535,134.14999,-0.237050060035395,-0.294478869772556,0.394941113294103,0.380669422055635,-0.207813635471725,-0.193872834406776,-1.24341781920527,0.044331504307471,-0.193381916084537,-0.217293720658117,-0.36052206450975,0.087764518647576
3025,20120530,2012,05,30,2012-05-30,-0.311663880347891,-0.323446086267342,132.19,-0.185324591568853,-0.307586754052427,-0.651772809464449,-0.622790448934135,-0.2227427249388,-0.202059829364962,-1.24121610318219,-0.016332469162595,-0.197530878692321,-0.21651005360959,-0.358998473049459,-0.758778525951979
3026,20120531,2012,05,31,2012-05-31,-0.335399745091572,-0.326978614119833,131.85001,2.24538984153271,-0.32568861345072,-0.234645506200922,-0.22127862627028,0.139287694637821,0.144354554536293,-1.24567713072858,-0.014838009865062,-0.201641730153897,-0.215739301996844,-0.357787211121739,-0.84988302309337
3027,20120601,2012,06,01,2012-06-01,-0.380789381180366,-0.381005718483088,128.75999,1.98572952016997,-0.372919150818717,-0.880011534832269,-0.865440784959671,-0.017471477038857,0.009071473508624,-1.40678835156065,-0.010541108009311,-0.206950707654047,-0.215668255258928,-0.356807680626395,-1.60964500887338
3028,20120604,2012,06,04,2012-06-04,-0.402651361865336,-0.404278635362562,128.60001,0.199632260287916,-0.394765971393431,-0.179563169769449,-0.172464821961998,-0.043593651333872,-0.015722254364143,-1.52739868874949,-0.010457807956825,-0.211916752576417,-0.215881393319745,-0.355859492903796,-1.60964500887338
3029,20120605,2012,06,05,2012-06-05,-0.389325755905157,-0.393681259600847,129.33,0.24041580273269,-0.406209544075425,0.827792735487495,0.821083521061531,-0.092120656646609,-0.066217625566138,-1.56588053662208,-0.012186823127302,-0.216776960957568,-0.215958898852017,-0.354238508014374,-1.25344910865754
3030,20120606,2012,06,06,2012-06-06,-0.34414453736556,-0.33529023656523,132.36,0.918700440634564,-0.361891708052432,1.53609538998576,1.4843511849922,0.146755971643742,0.148584683224303,-1.41288584972617,0.039364527172233,-0.22088358302178,-0.215450807029345,-0.352084657926497,0.225028100145272
3031,20120607,2012,06,07,2012-06-07,-0.305523995124853,-0.304328876712689,132.53,-0.088301079711492,-0.288653050952632,-1.10035662061718,-1.05248750327787,0.010565352980325,0.018361080570436,-1.26915591561633,0.027388047775743,-0.224753121750328,-0.21479846879939,-0.349911776938676,0.307978966645754
3032,20120608,2012,06,08,2012-06-08,-0.315827858935688,-0.312640706953842,133.52,-0.099013454837699,-0.325480340427908,1.07176364981468,1.02837143891048,0.045977153196229,0.047138850947393,-1.08915427165483,0.007204082802908,-0.227919877733865,-0.213986813641988,-0.348043390349972,0.791045777442718
3033,20120611,2012,06,11,2012-06-11,-0.315619857805171,-0.288951990766554,132.53999,0.82749221813143,-0.27304817911355,-1.68274667323414,-1.6123323558262,0.467727662913538,0.452191544664663,-0.991300721207986,0.052626539093372,-0.231378762723252,-0.213698322980352,-0.346472782491634,0.312853549918336
3034,20120612,2012,06,12,2012-06-12,-0.31832657922331,-0.31492646027016,133.47,0.449192342245947,-0.324023885722927,0.977323295881571,0.938589399947291,0.049713157835363,0.050902224622058,-0.853713005490969,0.009825693626498,-0.234655597346265,-0.213368924468197,-0.344590962326498,0.766648463766098
3035,20120613,2012,06,13,2012-06-13,-0.308416022855464,-0.307861404565179,132.57001,-0.26826898183177,-0.308627078841699,-0.313353671174666,-0.295694343564585,-0.001042014080332,0.007160848568237,-0.78736506041334,0.113286718483976,-0.238783387565447,-0.213226828839434,-0.343006918652799,0.327501697049778
3036,20120614,2012,06,14,2012-06-14,-0.301045204015192,-0.294146884667275,133.92,0.447929812320358,-0.311747845144558,0.86713501293011,0.830612507107569,0.113161788070449,0.108312011103723,-0.653651360948412,0.007206959835689,-0.242111021526758,-0.212819924795007,-0.341649007968499,0.98622428685562
3037,20120615,2012,06,15,2012-06-15,-0.263151104161244,-0.274614083600564,135.2,0.811423655442119,-0.2757528155007,0.512991555710463,0.489030212608837,-0.215278180205268,-0.203970626296378,-0.472537312524674,0.001840678993432,-0.244257472440734,-0.2121116103473,-0.340175792419827,1.09844705030532
3038,20120618,2012,06,18,2012-06-18,-0.259194918494624,-0.26463988731118,135.50999,0.196609840163022,-0.271383659450715,0.591691850654732,0.561933396248959,-0.107046013841326,-0.104408082214258,-0.309781640630742,0.001180300027574,-0.246285385920506,-0.211573377484301,-0.338735042466995,1.09844705030532
3039,20120619,2012,06,19,2012-06-19,-0.238373984508939,-0.246146065024613,136.27,-0.077320895207129,-0.253489865010277,0.512991555710485,0.485244399604003,-0.148101009875784,-0.1450685468649,-0.138475457374186,-3.82107305628163E-05,-0.247309924621062,-0.210725122492215,-0.337069278989469,1.09844705030532
3040,20120620,2012,06,20,2012-06-20,-0.247951822351694,-0.249055205609017,135.99001,0.296196670354154,-0.239549720898988,-0.2346455062009,-0.214332471735031,-0.028664561866798,-0.033654924547471,-0.019709072449167,0.000981271087804,-0.247483495024556,-0.209919923976236,-0.335079989093415,0.999589203600245
3041,20120621,2012,06,21,2012-06-21,-0.292300411741204,-0.255704462006184,133.02,0.878261224533133,-0.241630162412574,-2.49335971115991,-2.38302112583327,0.646880468790833,0.617809479904213,-0.091635189913195,-0.027000228176046,-0.249312423613978,-0.209655111254709,-0.33333026576319,-0.049051081026113
3042,20120622,2012,06,22,2012-06-22,-0.286262340885355,-0.298925979260183,133.96001,0.374932627531776,-0.293854674898993,0.221816204475745,0.216517185539863,-0.237668082133506,-0.221330590315335,-0.096767497431009,0.243956834006419,-0.251573178331162,-0.209183617113791,-0.331843615518622,0.197054316042752
